Id,Foi_id,Networksize(=Number_leafs),Number_flows,Number_nesting_tree_nodes,Max_deg,Avg_deg,Level_nesting,Balanced,LUDB_FF_delay,LUDB_FF_ctime,SFA_FIFO_delay,SFA_FIFO_ctime,GS_FF_Simple_g_2_delay,GS_FF_Simple_g_2_ctime,GS_FF_Simple_g_3_delay,GS_FF_Simple_g_3_ctime,GS_FF_Simple_g_4_delay,GS_FF_Simple_g_4_ctime
3753,13,21,14,35,5,2.429,5,FALSE,3.5468520282755867,65961870741,70.40445478597273,1862821274,8.384211407790218,709111532,6.635975930711072,722970658,6.157962201455714,140451242423
3756,12,21,13,34,5,2.538,5,FALSE,3.3246491270410194,34369794536,84.46932542571255,7561345128,7.942350942673938,341276599,5.973185233036653,342015071,5.568814914634008,44638340050
3757,12,19,13,32,4,2.385,5,FALSE,3.2321423166069287,52272399479,74.2673570326486,908943304,8.499449708106036,311831463,6.017166714518134,313669520,5.213494988973579,328509837
3763,11,14,12,26,3,2.083,5,FALSE,3.2013898544238666,39355100344,29.12467922841577,78013160,8.571502057613166,135670251,8.478652263374483,134520625,6.18347050754458,11793339143
3771,13,14,14,28,4,1.929,5,FALSE,3.6076217372560726,82233600669,19.511482023929137,37218073,8.72384801447275,779526660,6.467580050876914,599859116,6.421721455097998,118738937885
3777,5,8,6,14,4,2.167,4,FALSE,1.8864217576621525,543187050,8.831202058511487,1702256,4.9565217391304355,1080890,2.9092627599243857,1080841,2.27512473271561,1085269
3778,12,11,13,24,2,1.769,5,TRUE,3.4176217372560727,63200713809,17.948000855561634,13718478,8.303580524760816,261219225,6.257446306020948,260626382,6.112357886282268,34515666271
3783,12,13,13,26,5,1.923,3,TRUE,5.257966298595712,4585307583,16.666137594533076,8427614,11.227272727272727,328846802,11.227272727272727,35610144099,11.227272727272727,1129891630481
3784,14,16,15,31,5,2,6,FALSE,2.9306320934593453,31122974266,18.609016122727887,55524124,7.098686307655155,1306314740,5.040528857763825,1360290070,4.320829107300974,2075325087
3785,11,15,12,27,5,2.167,5,FALSE,2.7952958347271992,4365595296,22.542564113394047,109395116,6.9002057613168715,139357742,4.168874314128944,138672595,4.301462454090889,151736621
3789,12,18,13,31,6,2.308,4,FALSE,4.05228617605132,13946421304,26.748320877276853,120456825,8.846095102331738,319965216,8.846095102331738,41503534812,7.921664460509793,41609477361
3790,12,16,13,29,4,2.154,5,FALSE,3.2602237556584353,48752989825,23.694575108706562,257522336,7.5506125759835,293451033,6.597511839379597,297381371,5.5580898128767435,38802028508
3792,13,11,14,25,2,1.714,9,FALSE,2.0511986082388045,1370978937333,17.872982035706087,15570587,7.711173875551441,574762936,4.591485538997756,569102326,3.4425318766103654,575135499
3794,10,12,11,23,3,2,5,FALSE,2.80733931660693,10133696510,16.234814892406035,15373706,6.484256866685805,57734820,5.789644942099721,57522693,4.773133526865941,3378465719
3802,10,9,11,20,3,1.727,5,FALSE,2.735674530731447,6268014856,10.173942369942145,2323152,7.108920748705693,50947848,4.294972952343024,52267351,4.709864194443672,50923155
